model,old_pk,new_pk,action,name,status,error
client,149,260,CREATE,WAHAB SEA SERVICE,SUCCESS,
client,150,261,CREATE,PAYEL AUTOMATIC PROCESSING MILLS,SUCCESS,
client,151,262,CREATE,PRIME OCEAN TRADE LIMITED.,SUCCESS,
client,152,263,CREATE,AKIJ SHIPPING LINE LTD.,SUCCESS,
client,153,264,CREATE,TRINCO MARITIME INC,SUCCESS,
client,154,265,CREATE,BPG SHIPPING COMPANY DMCC,SUCCESS,
client,155,266,CREATE,CDX ENTERPRISE PTE LTD,SUCCESS,
client,156,267,CREATE,HEDERSON INTERNATIONAL BANGLADESH LIMITED ,SUCCESS,
client,157,268,CREATE,MAINLINE CARTERING INC,SUCCESS,
client,158,269,CREATE,SHORELINE SERVICES LTD,SUCCESS,
client,159,270,CREATE,AUTHENTIC CARRIERS CO.,SUCCESS,
client,160,271,CREATE,UNI - GLOBAL BUSINESS LTD,SUCCESS,
client,161,272,CREATE,DRYDEL SHIPPING,SUCCESS,
client,162,273,CREATE,WAHALESS SHIPPING,SUCCESS,
client,163,274,CREATE,GM FOOD INDUSTRIES (PRIVATE) LIMITED,SUCCESS,
client,164,275,CREATE,RENU SHIPPING LINES,SUCCESS,
